,antecedents,consequents,support,confidence,lift
0,frozenset({'00254f2d-2670-4cb3-88bc-a06f8497f7fd'}),frozenset({'45ffcf62-f670-4a89-a72a-b8a7514cf2fc'}),0.001579778830963665,0.125,9.890625
1,frozenset({'45ffcf62-f670-4a89-a72a-b8a7514cf2fc'}),frozenset({'00254f2d-2670-4cb3-88bc-a06f8497f7fd'}),0.001579778830963665,0.125,9.890625
3,frozenset({'00254f2d-2670-4cb3-88bc-a06f8497f7fd'}),frozenset({'56a837eb-3a73-4c7f-b112-414bd0c4b6ea'}),0.001579778830963665,0.125,7.193181818181818
5,frozenset({'00254f2d-2670-4cb3-88bc-a06f8497f7fd'}),frozenset({'78ff3227-f20b-49e3-9d67-ea3e95e07236'}),0.001579778830963665,0.125,5.104838709677419
6,frozenset({'00254f2d-2670-4cb3-88bc-a06f8497f7fd'}),frozenset({'79af77a3-46eb-41af-938a-52f566f58b0f'}),0.001579778830963665,0.125,8.791666666666668
7,frozenset({'79af77a3-46eb-41af-938a-52f566f58b0f'}),frozenset({'00254f2d-2670-4cb3-88bc-a06f8497f7fd'}),0.001579778830963665,0.11111111111111112,8.791666666666668
8,frozenset({'00254f2d-2670-4cb3-88bc-a06f8497f7fd'}),frozenset({'8395bebd-40a7-4429-a516-dc92db51aeba'}),0.00315955766192733,0.25,13.760869565217392
9,frozenset({'8395bebd-40a7-4429-a516-dc92db51aeba'}),frozenset({'00254f2d-2670-4cb3-88bc-a06f8497f7fd'}),0.00315955766192733,0.17391304347826086,13.76086956521739
10,frozenset({'969882f8-1761-439e-a771-883630cf0845'}),frozenset({'00254f2d-2670-4cb3-88bc-a06f8497f7fd'}),0.0039494470774091624,0.2631578947368421,20.82236842105263
11,frozenset({'00254f2d-2670-4cb3-88bc-a06f8497f7fd'}),frozenset({'969882f8-1761-439e-a771-883630cf0845'}),0.0039494470774091624,0.3125,20.82236842105263
12,frozenset({'00254f2d-2670-4cb3-88bc-a06f8497f7fd'}),frozenset({'b229ab2a-d03d-4d62-b2f9-67b8e47e1c2a'}),0.001579778830963665,0.125,9.890625
13,frozenset({'b229ab2a-d03d-4d62-b2f9-67b8e47e1c2a'}),frozenset({'00254f2d-2670-4cb3-88bc-a06f8497f7fd'}),0.001579778830963665,0.125,9.890625
14,frozenset({'00254f2d-2670-4cb3-88bc-a06f8497f7fd'}),frozenset({'cbb3288e-b7f9-4d8a-bc9f-967f4174ed4b'}),0.00315955766192733,0.25,15.07142857142857
15,frozenset({'cbb3288e-b7f9-4d8a-bc9f-967f4174ed4b'}),frozenset({'00254f2d-2670-4cb3-88bc-a06f8497f7fd'}),0.00315955766192733,0.19047619047619047,15.071428571428571
17,frozenset({'00254f2d-2670-4cb3-88bc-a06f8497f7fd'}),frozenset({'f30a2c54-5baa-4048-b911-c3733f86eea2'}),0.001579778830963665,0.125,6.593749999999999
18,frozenset({'00254f2d-2670-4cb3-88bc-a06f8497f7fd'}),frozenset({'f9723c2f-9a5c-4b95-97fe-ebfbb6bd824f'}),0.002369668246445498,0.18750000000000003,10.789772727272728
19,frozenset({'f9723c2f-9a5c-4b95-97fe-ebfbb6bd824f'}),frozenset({'00254f2d-2670-4cb3-88bc-a06f8497f7fd'}),0.002369668246445498,0.13636363636363638,10.789772727272728
24,frozenset({'003d9bee-7088-42b9-a86f-8109480309b2'}),frozenset({'27ee56fe-f667-4006-91a6-6aab3da2b073'}),0.002369668246445498,0.14285714285714285,7.535714285714285
25,frozenset({'27ee56fe-f667-4006-91a6-6aab3da2b073'}),frozenset({'003d9bee-7088-42b9-a86f-8109480309b2'}),0.002369668246445498,0.125,7.535714285714285
27,frozenset({'60ed55cc-f040-4823-ad16-11d2444d78b1'}),frozenset({'003d9bee-7088-42b9-a86f-8109480309b2'}),0.001579778830963665,0.13333333333333333,8.038095238095238
28,frozenset({'61976534-74e1-4479-a05a-01fb55f16681'}),frozenset({'003d9bee-7088-42b9-a86f-8109480309b2'}),0.002369668246445498,0.14285714285714285,8.612244897959183
29,frozenset({'003d9bee-7088-42b9-a86f-8109480309b2'}),frozenset({'61976534-74e1-4479-a05a-01fb55f16681'}),0.002369668246445498,0.14285714285714285,8.612244897959183
30,frozenset({'70ebd75a-3a57-4c4e-90b2-91fcb9457694'}),frozenset({'003d9bee-7088-42b9-a86f-8109480309b2'}),0.002369668246445498,0.13043478260869568,7.863354037267082
